title,composer,style,key,transpose,comp_style,bpm,repeats,time_signature,notes_numbers
Passion Dance,Tyner McCoy,Up Tempo Swing,F,,0,0,,"(4, 4)","[[5, 10, 12, 15], [5, 10, 12, 15], [5, 10, 12, 15], [5, 10, 12, 15], [5, 10, 12, 15], [5, 10, 12, 15], [5, 10, 12, 15], [5, 10, 12, 15], [5, 10, 12, 15], [5, 10, 12, 15], [5, 10, 12, 15], [5, 10, 12, 15], [5, 10, 12, 15], [5, 10, 12, 15], [5, 10, 12, 15], [5, 10, 12, 15], [10, 15, 17, 20, 24, 27, 30], [10, 15, 17, 20, 24, 27, 30], [10, 15, 17, 20, 24, 27, 30], [10, 15, 17, 20, 24, 27, 30], [10, 15, 17, 20, 24, 27, 30], [10, 15, 17, 20, 24, 27, 30], [10, 15, 17, 20, 24, 27, 30], [10, 15, 17, 20, 24, 27, 30], [-2, 3, 6, 13, 17, 20], [-2, 3, 6, 13, 17, 20], [-2, 3, 6, 13, 17, 20], [-2, 3, 6, 13, 17, 20], [-2, 3, 6, 13, 17, 20], [-2, 3, 6, 13, 17, 20], [-1, 1, 5, 8], [0, 4, 7, 10, 15], [0, 4, 7, 10, 15]]"
Passion Flower,Strayhorn Billy,Ballad,G,,0,0,,"(4, 4)","[[6, 10, 13, 16, 20, 24], [6, 10, 13, 16, 20, 24], [6, 10, 13, 16, 20, 24], [6, 10, 13, 16, 20, 24], [4, 8, 11, 14, 18, 21, 25], [3, 7, 10, 13, 17, 20, 24], [2, 6, 9, 12, 16], [7, 11, 14, 18], [7, 11, 14, 18], [6, 10, 13, 16, 20, 24], [6, 10, 13, 16, 20, 24], [6, 10, 13, 16, 20, 24], [6, 10, 13, 16, 20, 24], [4, 8, 11, 14, 18, 21, 25], [3, 7, 10, 13, 17, 20, 24], [2, 6, 9, 12, 16], [7, 11, 14, 18], [7, 11, 14, 18], [1, 5, 8, 12], [0, 4, 7, 10, 14, 18], [11, 15, 18, 21, 25, 29], [10, 14, 18, 20], [9, 13, 17, 19], [8, 12, 15, 18, 22], [1, 5, 8, 12], [10, 14, 17, 20], [3, 7, 10, 13], [8, 12, 15, 18], [1, 5, 8, 11], [6, 10, 13, 16, 20, 24], [6, 10, 13, 16, 20, 24], [6, 10, 13, 16, 20, 24], [6, 10, 13, 16, 20, 24], [4, 8, 11, 14, 18, 21, 25], [3, 7, 10, 13, 17, 20, 24], [2, 6, 9, 12, 16], [7, 11, 14, 18], [7, 11, 14, 18]]"
Passport,Parker Charlie,Up Tempo Swing,Bb,,0,0,,"(4, 4)","[[10, 14, 17, 21], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [2, 5, 9, 12], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 13], [8, 12, 15, 18], [2, 5, 9, 12], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [2, 5, 9, 12], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 13], [8, 12, 15, 18], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 19], [2, 6, 9, 12], [2, 6, 9, 12], [7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17, 21], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [2, 5, 9, 12], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 13], [8, 12, 15, 18], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 19]]"
Peace,Silver Horace,Ballad,Bb,,0,0,,"(4, 4)","[[9, 12, 15, 19], [2, 6, 9, 12, 15], [7, 10, 14, 17], [0, 4, 7, 10], [11, 15, 18, 22], [0, 3, 6], [5, 9, 12, 15], [10, 14, 17, 21], [11, 14, 18, 21], [4, 8, 11, 14], [9, 13, 16, 20], [6, 9, 13, 16], [3, 6, 9, 13], [8, 12, 15, 18], [1, 5, 8, 12], [0, 4, 7, 10], [11, 15, 18, 21, 25, 29], [10, 14, 17, 21]]"
"Peacocks, The",Rowles Jimmy,Ballad,Bb-,,0,0,,"(4, 4)","[[10, 13, 17, 20, 24, 27], [10, 13, 17, 20, 24, 27], [10, 13, 17, 20, 24, 27], [6, 9, 13, 16], [5, 8, 12, 15], [10, 14, 17, 20, 23], [3, 6, 10, 13], [3, 6, 10, 13], [0, 3, 6, 10], [5, 9, 12, 15, 18], [10, 13, 17], [5, 9, 12, 15, 18], [10, 13, 17, 20, 24, 27], [10, 13, 17, 20, 24, 27], [10, 13, 17, 20, 24, 27], [6, 9, 13, 16], [5, 8, 12, 15], [10, 14, 17, 20, 23], [3, 6, 10, 13], [3, 6, 10, 13], [0, 3, 6, 10], [5, 9, 12, 15, 18], [10, 13, 17], [0, 3, 6, 10], [5, 9, 12, 15, 18], [10, 13, 17], [0, 3, 6, 10], [5, 9, 12, 15, 18], [10, 13, 17], [3, 6, 9, 13], [8, 12, 15, 18, 21], [1, 4, 8, 12], [3, 7, 10, 13, 17, 21], [0, 3, 6, 10], [5, 9, 12, 15, 18], [10, 13, 17, 20, 24, 27], [10, 13, 17, 20, 24, 27], [10, 13, 17, 20, 24, 27], [6, 9, 13, 16], [5, 8, 12, 15], [10, 14, 17, 20, 23], [3, 6, 10, 13], [3, 6, 10, 13], [0, 3, 6, 10], [5, 9, 12, 15, 18], [10, 13, 17], [5, 9, 12, 15, 18]]"
Pee Wee,Williams Tony,Waltz,Db,,0,0,,"(3, 4)","[[1, 5, 8, 12], [1, 3, 7, 10], [1, 5, 9, 12], [2, 5, 9, 12], [3, 9, 13, 16, 20], [4, 10, 14, 17, 21], [5, 11, 15, 18, 22], [5, 11, 15, 18, 22], [7, 12, 14, 17], [7, 11, 14, 17], [5, 10, 12, 15], [1, 5, 8, 12, 19], [6, 10, 13, 17], [7, 12, 14, 17], [7, 11, 14, 17], [3, 7, 10, 14], [-7, 1, 8, 12], [6, 10, 13, 17, 24], [1, 6, 8, 11], [1, 5, 9, 12], [1, 5, 9, 12], [1, 5, 9, 12]]"
Peel Me A Grape,Frishberg Dave,Slow Swing,D-,,0,0,,"(4, 4)","[[2, 5, 9, 12], [3, 7, 10, 13], [2, 5, 9, 12], [3, 7, 10, 13], [2, 5, 9, 12], [0, 4, 7, 10], [10, 14, 17, 20], [9, 13, 16, 19, 22], [2, 5, 9, 12], [3, 7, 10, 13], [2, 5, 9, 12], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [11, 14, 17, 20], [0, 5, 9, 12, 15, 20], [5, 9, 12, 15, 20], [10, 14, 17, 20], [11, 14, 17, 20], [0, 5, 9, 12, 15, 20], [5, 9, 12, 15, 20], [10, 14, 17, 20], [11, 14, 17, 20], [0, 5, 9, 12, 15, 20], [5, 9, 12, 15, 20], [9, 13, 16, 19, 22], [2, 5, 9, 12], [0, 4, 7, 10], [10, 14, 17, 20], [9, 13, 16, 19, 22], [2, 5, 9, 12], [3, 7, 10, 13], [2, 5, 9, 12], [3, 7, 10, 13], [2, 5, 9, 12], [0, 4, 7, 10], [10, 14, 17, 20], [9, 13, 16, 19, 22], [2, 5, 9, 12], [3, 7, 10, 13], [2, 5, 9, 12], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [11, 14, 17, 20], [0, 5, 9, 12, 15, 20], [5, 9, 12, 15, 20], [10, 14, 17, 20], [11, 14, 17, 20], [0, 5, 9, 12, 15, 20], [5, 9, 12, 15, 20], [10, 14, 17, 20], [11, 14, 17, 20], [0, 5, 9, 12, 15, 20], [5, 9, 12, 15, 20], [9, 13, 16, 19, 22], [2, 5, 9, 12], [0, 4, 7, 10], [10, 14, 17, 20], [9, 13, 16, 19], [2, 5, 9, 12], [2, 6, 9, 12, 15], [2, 6, 9, 12, 15], [7, 10, 14], [2, 6, 9, 12, 15], [7, 10, 14, 17], [0, 4, 7, 10], [11, 15, 18, 21], [4, 8, 11, 14, 17], [11, 15, 18, 21], [4, 8, 11, 14, 17], [10, 14, 17, 20], [9, 13, 16, 19, 22]]"
Pennies From Heaven,Johnston Arthur,Medium Swing,C,,0,0,,"(4, 4)","[[0, 4, 7, 9], [5, 9, 12, 16], [4, 7, 11, 14], [3, 6, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 9], [5, 9, 12, 16], [4, 7, 11, 14], [3, 6, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16], [2, 6, 9, 12], [2, 6, 9, 12], [7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7, 9], [5, 9, 12, 16], [4, 7, 11, 14], [3, 6, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16], [2, 5, 9, 12], [10, 14, 17, 20, 24, 28], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 9], [2, 5, 9, 12], [7, 11, 14, 17]]"
Pensativa,Fischer Clare,Bossa Nova,Gb,,0,0,,"(4, 4)","[[6, 10, 13, 17], [7, 11, 14, 17, 21, 25], [6, 10, 13, 17], [7, 11, 14, 17, 21, 25], [6, 10, 13, 17], [3, 7, 10, 13, 18], [2, 6, 9, 13], [8, 12, 15, 18], [7, 11, 14, 18, 25], [6, 9, 13, 16], [11, 15, 18, 21], [4, 7, 11, 14], [9, 13, 16, 19], [2, 6, 9, 13], [8, 11, 15, 18], [7, 11, 14, 17], [6, 10, 13, 17], [5, 9, 12, 15], [6, 10, 13, 17], [7, 11, 14, 17, 21, 25], [6, 10, 13, 17], [7, 11, 14, 17, 21, 25], [6, 10, 13, 17], [3, 7, 10, 13, 18], [2, 6, 9, 13], [8, 12, 15, 18], [7, 11, 14, 18, 25], [6, 9, 13, 16], [11, 15, 18, 21], [4, 7, 11, 14], [9, 13, 16, 19], [2, 6, 9, 13], [8, 11, 15, 18], [7, 11, 14, 17], [6, 10, 13, 17], [1, 4, 8, 11], [6, 10, 13, 16], [0, 4, 7, 11], [9, 12, 16, 19], [5, 9, 12, 16], [4, 8, 11, 14, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [11, 14, 18, 21], [10, 14, 17, 20], [9, 13, 16, 20], [8, 9, 13, 16, 20], [6, 9, 13, 16], [11, 14, 18, 21], [4, 8, 11, 14, 17], [9, 13, 16, 20], [9, 13, 16, 20], [2, 5, 9, 12], [7, 11, 14, 17]]"
Pent Up House,Rollins Sonny,Up Tempo Swing,G,,0,0,,"(4, 4)","[[9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [7, 11, 14, 18], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [7, 11, 14, 18], [2, 5, 9, 12], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [7, 11, 14, 18]]"
Penthouse Serenade,Jason-Burton,Medium Swing,F,,0,0,,"(4, 4)","[[5, 9, 12, 16], [5, 8, 11, 14], [7, 10, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 8, 11, 14], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 8, 11, 14], [7, 10, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [10, 14, 17, 20], [5, 9, 12, 16], [7, 10, 14, 17], [6, 9, 12, 15], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 8, 11], [7, 10, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [3, 7, 10, 13], [5, 9, 12, 16]]"
People,Styne Jule,Ballad,Bb,,0,0,,"(4, 4)","[[10, 14, 17, 21], [7, 10, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [7, 10, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15, 18], [-2, 3, 7], [10, 14, 17, 21], [9, 12, 16, 19], [2, 6, 9, 12], [7, 10, 14, 18], [7, 10, 14, 18], [0, 4, 7, 10, 14, 18], [0, 4, 7, 10, 14, 18], [7, 10, 13, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 14], [11, 7, 14], [10, 13, 17, 19], [9, 5, 12], [8, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 4, 8, 11], [5, 9, 12, 14], [5, 9, 12, 14], [5, 9, 12, 14], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [7, 10, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [7, 10, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15, 18], [-2, 3, 7], [10, 14, 17, 21], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [3, 7, 10, 14], [3, 7, 10, 14], [3, 6, 10, 13], [10, 14, 17, 19], [5, 8, 12, 15], [10, 14, 17, 20, 23], [3, 7, 10, 14], [3, 7, 10, 14], [3, 7, 10, 14], [3, 5, 9, 12, 15], [2, 10, 14, 17], [4, 7, 10, 14], [9, 13, 16, 19], [2, 10, 14, 17], [7, 10, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [10, 14, 17, 21], [10, 14, 17, 21], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [8, 12, 15, 18, 22, 26], [5, 3, 7, 10], [0, 3, 7, 10], [-7, 0, 3, 7, 10], [10, 14, 17, 19], [0, 3, 7, 10], [5, 9, 12, 15]]"
People Will Say We're In Love,Rodgers Richard,Medium Swing,C,,0,0,,"(4, 4)","[[0, 4, 7, 9], [0, 4, 7, 9], [0, 4, 7, 11], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 9], [0, 4, 7, 9], [3, 6, 9, 12], [2, 7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7, 9], [9, 12, 16, 19], [2, 6, 9, 12], [2, 6, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17, 20], [0, 4, 7, 9], [1, 4, 7, 10], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 9], [0, 4, 7, 9], [0, 4, 7, 11], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 9], [0, 4, 7, 9], [3, 6, 9, 12], [2, 7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7, 9], [9, 12, 16, 19], [2, 6, 9, 12], [2, 6, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17, 20], [0, 4, 7, 9], [5, 9, 12, 15], [0, 4, 7, 9], [0, 3, 7, 10], [5, 9, 12, 15], [0, 3, 7, 10], [5, 9, 12, 15, 18], [10, 14, 17, 21], [10, 14, 17, 21], [11, 14, 17, 21], [4, 8, 11, 14], [9, 13, 16, 19], [2, 6, 9, 12], [7, 11, 14, 17], [0, 4, 7, 9], [9, 12, 16, 19], [2, 6, 9, 12], [2, 6, 9, 12], [2, 5, 9, 12], [1, 5, 8, 11], [0, 4, 7, 9], [0, 4, 7, 9]]"
Perdido,Tizol Juan,Latin,Bb,,0,0,,"(4, 4)","[[0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 19], [10, 14, 17, 19], [2, 6, 9, 12], [2, 6, 9, 12], [7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12, 15], [5, 9, 12, 15], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 19], [2, 5, 9, 12], [7, 11, 14, 17]]"
Perhaps,Parker Charlie,Up Tempo Swing,C,,0,0,,"(4, 4)","[[0, 4, 7, 10], [0, 4, 7, 10], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12, 15], [5, 9, 12, 15], [0, 4, 7, 10], [4, 7, 11, 14], [8, 12, 15, 18, 21], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 10], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 10], [0, 4, 7, 10], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12, 15], [5, 9, 12, 15], [0, 4, 7, 10], [4, 7, 11, 14], [8, 12, 15, 18, 21], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 10], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 10]]"
"Perhaps, Perhaps, Perhaps",Farres-Davis,Latin,E-,,0,0,,"(4, 4)","[[4, 7, 11, 14], [9, 12, 16, 19], [11, 15, 18, 21], [4, 7, 11, 14], [9, 12, 16, 19], [11, 15, 18, 21], [4, 7, 11, 14], [0, 4, 7, 10, 14], [11, 15, 18, 21, 25], [4, 7, 11, 14], [9, 12, 16, 19], [4, 7, 11, 14], [4, 7, 11, 14], [9, 12, 16, 19], [11, 15, 18, 21], [4, 7, 11, 14], [9, 12, 16, 19], [11, 15, 18, 21], [4, 7, 11, 14], [0, 4, 7, 10, 14], [11, 15, 18, 21, 25], [4, 7, 11, 14], [9, 12, 16, 19], [4, 7, 11, 14], [11, 15, 18, 21], [11, 15, 18, 21], [4, 8, 11, 13], [4, 8, 11, 13], [11, 15, 18, 21], [11, 15, 18, 21], [4, 8, 11, 13], [4, 8, 11, 13], [4, 7, 11, 14], [9, 12, 16, 19], [11, 15, 18, 21], [4, 7, 11, 14], [9, 12, 16, 19], [11, 15, 18, 21], [4, 7, 11, 14], [0, 4, 7, 10, 14], [11, 15, 18, 21, 25], [4, 7, 11, 14], [9, 12, 16, 19], [4, 7, 11]]"
Peri's Scope,Evans Bill,Medium Swing,C,,0,0,,"(4, 4)","[[2, 5, 9, 12], [7, 11, 14, 17], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [4, 8, 12, 14], [4, 8, 12, 14], [5, 9, 12, 16], [7, 11, 14, 17], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [11, 15, 18, 21, 25, 29], [10, 14, 17, 20], [9, 13, 17, 19], [2, 5, 9, 12], [7, 11, 14, 17], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [4, 7, 10, 14], [9, 13, 16, 19, 22], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [0, 4, 7, 11], [9, 13, 17, 19]]"
Petit Fleur,Bechet Sidney,Medium Swing,G-,,0,0,,"(4, 4)","[[2, 6, 9, 12, 15], [2, 6, 9, 12, 15], [7, 10, 14], [7, 10, 14], [9, 13, 16, 19, 23, 26, 30], [9, 13, 16, 19, 23, 26, 30], [2, 6, 9, 12, 15], [2, 6, 9, 12, 15], [2, 6, 9, 12, 15], [2, 6, 9, 12, 15], [10, 14, 17, 19], [10, 14, 17, 19], [0, 3, 7, 10], [0, 3, 7, 10], [7, 10, 14], [7, 10, 14], [9, 12, 15, 19], [2, 6, 9, 12, 15], [7, 10, 14], [7, 10, 14], [9, 13, 16, 19, 22], [9, 13, 16, 19, 22], [2, 6, 9, 12, 15], [2, 6, 9, 12, 15], [2, 6, 9, 12, 15], [2, 6, 9, 12, 15], [7, 10, 14], [7, 10, 14], [9, 13, 16, 19, 22], [2, 6, 9, 12, 15], [7, 10, 14], [2, 6, 9, 12, 15], [7, 10, 14], [7, 11, 14, 17, 20], [7, 11, 14, 17, 20], [0, 3, 7], [0, 3, 7], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17, 19], [9, 12, 15, 19], [2, 6, 9, 12, 15], [2, 6, 9, 12, 15], [7, 10, 14], [7, 10, 14], [9, 13, 16, 19, 24], [2, 6, 9, 12, 15], [7, 10, 14], [2, 6, 9, 12, 15], [7, 10, 14]]"
Pfrancing (No Blues),Davis Miles,Medium Swing,F,,0,0,,"(4, 4)","[[5, 9, 12, 15], [10, 14, 17, 20], [5, 9, 12, 15], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [11, 14, 17, 20], [5, 9, 12, 15], [9, 12, 16, 19], [2, 6, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 15], [2, 6, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10]]"
Phase Dance,Metheny Pat,Even 8ths,B-,,0,0,,"(4, 4)","[[11, 14, 18, 21, 25], [11, 14, 18, 21, 25], [11, 14, 18, 21, 25], [11, 14, 18, 21, 25], [10, 14, 17, 21, 28], [10, 14, 17, 21, 28], [10, 14, 17, 21, 28], [10, 14, 17, 21, 28], [11, 14, 18, 21, 25], [11, 14, 18, 21, 25], [11, 14, 18, 21, 25], [11, 14, 18, 21, 25], [10, 14, 17, 21, 28], [10, 14, 17, 21, 28], [10, 14, 17, 21, 28], [10, 14, 17, 21, 28], [9, 7, 11, 14, 18], [9, 7, 11, 14, 18], [9, 7, 11, 14, 18], [9, 7, 11, 14, 18], [7, 11, 14, 16, 21], [7, 11, 14, 16, 21], [7, 11, 14, 16, 21], [7, 11, 14, 16, 21], [11, 14, 18, 21, 25], [11, 14, 18, 21, 25], [11, 14, 18, 21, 25], [11, 14, 18, 21, 25], [10, 14, 17, 21, 24, 28], [10, 14, 17, 21, 24, 28], [10, 14, 17, 21, 24, 28], [10, 14, 17, 21, 24, 28]]"
Pick Yourself Up,Kern Jerome,Medium Up Swing,F,,0,0,,"(4, 4)","[[7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [10, 14, 17, 21], [4, 7, 10, 14], [9, 13, 16, 19, 22], [2, 5, 9, 12], [7, 11, 14, 17], [0, 5, 7, 10], [0, 4, 7, 10], [9, 12, 16, 19], [2, 6, 9, 12, 15], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [0, 4, 7, 11], [6, 9, 12, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19], [2, 7, 9, 12], [2, 6, 9, 12], [11, 14, 18, 21], [4, 8, 11, 14, 17], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [8, 12, 15, 19], [8, 12, 15, 19], [3, 6, 10, 13], [8, 12, 15, 18], [0, 4, 7, 11], [0, 4, 7, 11], [9, 12, 16, 19], [2, 6, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [10, 14, 17, 21], [4, 7, 10, 14], [9, 13, 16, 19, 22], [2, 5, 9, 12], [7, 11, 14, 17], [0, 5, 7, 10], [0, 4, 7, 10], [9, 12, 16, 19], [2, 6, 9, 12, 15], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 14]]"
Ping Pong,Shorter Wayne,Medium Up Swing,C,,0,0,,"(4, 4)","[[10, 14, 17, 20, 24, 27, 31], [11, 15, 18, 21, 25, 28, 32], [10, 14, 17, 20, 24, 27, 31], [11, 15, 18, 21, 25, 28, 32], [10, 14, 17, 20, 24, 27, 31], [11, 15, 18, 21, 25, 28, 32], [10, 14, 17, 20, 24, 27, 31], [11, 15, 18, 21, 25, 28, 32], [10, 14, 17, 20, 24, 27, 31], [11, 15, 18, 21, 25, 28, 32], [10, 14, 17, 20, 24, 27, 31], [11, 15, 18, 21, 25, 28, 32], [10, 14, 17, 20, 24, 27, 31], [11, 15, 18, 21, 25, 28, 32], [10, 14, 17, 20, 24, 27, 31], [11, 15, 18, 21, 25, 28, 32], [1, 5, 8, 12], [0, 3, 7, 10], [5, 9, 13, 15], [10, 14, 17, 21], [8, 12, 15, 19], [7, 11, 14, 17, 20], [6, 10, 13, 17], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [2, 6, 10, 12, 15], [1, 5, 8, 12], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20, 24, 27, 31], [11, 15, 18, 21, 25, 28, 32], [10, 14, 17, 20, 24, 27, 31], [11, 15, 18, 21, 25, 28, 32], [10, 14, 17, 20, 24, 27, 31], [11, 15, 18, 21, 25, 28, 32], [10, 14, 17, 20, 24, 27, 31], [11, 15, 18, 21, 25, 28, 32], [1, 5, 8, 12], [0, 3, 7, 10], [5, 9, 13, 15], [10, 14, 17, 21], [8, 12, 15, 19], [7, 11, 14, 17, 20], [6, 10, 13, 17], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [2, 6, 10, 12, 15], [1, 5, 8, 12], [0, 3, 7, 10], [5, 9, 12, 15], [10, 13, 17, 20], [3, 7, 10, 13], [8, 12, 15, 19], [6, 10, 13, 17, 24], [5, 8, 12, 15], [10, 14, 17, 20], [6, 9, 13, 16], [11, 15, 18, 21]]"
"Pink Panther, The",Mancini Henry,Medium Swing,E-,,0,0,,"(4, 4)","[[4, 7, 11], [4, 7, 11], [0, 4, 7, 10, 14], [0, 4, 7, 10, 14], [4, 7, 11], [4, 7, 11], [5, 9, 12, 15, 19], [5, 9, 12, 15, 19], [4, 7, 11], [4, 7, 11], [0, 4, 7, 10, 14], [0, 4, 7, 10, 14], [4, 7, 11], [0, 4, 7, 10, 14], [11, 15, 18, 21, 26], [4, 7, 11], [4, 7, 11], [7, 10, 14, 16], [7, 10, 14, 16], [3, 7, 10, 13, 17], [3, 7, 10, 13, 17], [7, 10, 14, 16], [7, 10, 14, 16], [8, 12, 15, 18, 22, 26], [8, 12, 15, 18, 22, 26], [7, 10, 14], [7, 10, 14], [3, 7, 10, 13, 17], [3, 7, 10, 13, 17], [7, 10, 14], [3, 7, 10, 13, 17], [2, 6, 9, 12, 17], [7, 10, 14], [7, 10, 14]]"
